date,position,player_name,role,confidence,notes,source_title
2018-01-28,1,Yahve,Starter,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,2,Jarvis,Starter,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,3,Joey,Starter,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,4,Aly,Starter,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,5,Calvin,Starter,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,6,Andrew,Starter,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,7,Steven L,Starter,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,8,Caleb,Starter,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,9,Talhah,Starter,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,10,Lewis,Starter,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,11,Josue,Starter,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,12,Edmund,Starter,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,13,Tristen,Starter,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,14,Octavio,Starter,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,15,Eric Reserves 16,Starter,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,17,Ethan,Reserve,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,18,Travis,Reserve,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,19,Andrew M,Reserve,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,20,Michael,Reserve,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,21,Jackson,Reserve,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-28,22,Grafton,Reserve,high,,Recap of Abilene Christian match and upcoming Dallas Quinn U23 match
2018-01-21,1,Yahve,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,2,Jarvis,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,3,Joey 4,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,5,Ali,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,6,Andrew P,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,7,Steven L,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,8,Caleb,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,9,Talhah,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,10,Lewis,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,11,Josue,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,12,Edmund,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,13,Tristen,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,14,Jackson,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,1,Brandon,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,2,Angel,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,3,Grafton,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,4,Alex Wilson,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,5,Alex Willis,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,6,Andrew M,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,7,Syed,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,8,Travis,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,9,Talhah,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,10,Andrew D,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,11,Eric,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,12,Ola,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,13,Tristen,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,14,Josue,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
2018-01-21,15,Jackson In this match,Starter,high,,Recap of UNT friendly and upcoming Abilene Christian match
